Variable	Variable_Label	Variable_Description
23	fBodyAcc-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
24	fBodyAcc-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
25	fBodyAcc-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
26	fBodyAccJerk-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
27	fBodyAccJerk-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
28	fBodyAccJerk-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
29	fBodyGyro-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
30	fBodyGyro-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
31	fBodyGyro-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
32	fBodyAccMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
33	fBodyBodyAccJerkMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
34	fBodyBodyGyroMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
35	fBodyBodyGyroJerkMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
36	tBodyAcc-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
37	tBodyAcc-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
38	tBodyAcc-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
39	tGravityAcc-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
40	tGravityAcc-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
41	tGravityAcc-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
42	tBodyAccJerk-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
43	tBodyAccJerk-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
44	tBodyAccJerk-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
45	tBodyGyro-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
46	tBodyGyro-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
47	tBodyGyro-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
48	tBodyGyroJerk-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
49	tBodyGyroJerk-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
50	tBodyGyroJerk-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
51	tBodyAccMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
52	tGravityAccMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
53	tBodyAccJerkMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
54	tBodyGyroMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
55	tBodyGyroJerkMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
56	fBodyAcc-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
57	fBodyAcc-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
58	fBodyAcc-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
59	fBodyAccJerk-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
60	fBodyAccJerk-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
61	fBodyAccJerk-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
62	fBodyGyro-std-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
63	fBodyGyro-std-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
64	fBodyGyro-std-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
65	fBodyAccMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
66	fBodyBodyAccJerkMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
67	fBodyBodyGyroMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
68	fBodyBodyGyroJerkMag-std_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
